"Title","Average","Male","Female","Gap"
"ADMINISTRATIVE CLAIM EXAMINER",91220.2941176471,91560.1810156777,90881.2558715055,0.00372133192851375
"ADMINISTRATIVE COMMUNITY RELATIONS SPECIALIST",127221.057971014,124599.58307174,128713.715246244,-0.0162412798768279
"ADMINISTRATIVE CONSTRUCTION PROJECT MANAGER",130259.391304348,131668.99089159,125248.540738689,0.0249903154220701
"ADMINISTRATIVE CONSULTANT",102356,112000,102354.993984492,0.0449954807967105
"ADMINISTRATIVE CONTRACT SPECIALIST",85572.3396226415,84824.8241387566,86109.1914081908,-0.00751381909168027
"ADMINISTRATIVE DEPUTY REGISTER",115834.333333333,109599,115840.212084817,-0.0276846783977801
"ADMINISTRATIVE DIRECTOR OF LABORATORY",135539.277777778,138868.355929226,130605.499836785,0.0306629230095564
"ADMINISTRATIVE DIRECTOR OF MARINE MAINTENANCE",140255,140258.808167709,139202.685128848,0.00377913617508732
"ADMINISTRATIVE DIRECTOR OF RESIDENTIAL CHILD CARE",89272.7272727273,84103.437001886,91675.047945089,-0.0430747309347158
"ADMINISTRATIVE DIRECTOR OF SOCIAL SERVICES",106630.369731801,107995.07261972,106103.271236328,0.00883613272910003
"ADMINISTRATIVE EDUCATION ANALYST",108935.486979167,110799.491224188,107875.988267236,0.0133691393463566
"ADMINISTRATIVE EDUCATION OFFICER",104487.054409006,105541.940350432,103932.5567724,0.00768295711476774
"ADMINISTRATIVE ENGINEER",133691.573141487,134731.393642567,128432.206469022,0.0239363923083339
"ADMINISTRATIVE FIRE PROTECTION INSPECTOR",106139,106140.745170775,105372.931975941,0.00363008768601252
"ADMINISTRATIVE GRAPHIC ARTIST",99102.25,99411.2526935972,98794.1957960742,0.00311321864371004
"ADMINISTRATIVE HORTICULTURIST",86351.2888888889,86799.4075919416,85686.2432952168,0.00645366319458664
"ADMINISTRATIVE HOUSING DEVELOPMENT SPECIALIST",114550.432432432,106067.133395298,120488.558574036,-0.0636550997831042
"ADMINISTRATIVE HOUSING MANAGER",126399.304347826,125728.825185867,126788.883393788,-0.00419795591320276
"ADMINISTRATIVE HOUSING SUPERINTENDENT",122726.036363636,123932.888839287,114320.020329865,0.0403473289914696
"ADMINISTRATIVE INSPECTOR",124375.870967742,125719.810755845,105446.891724081,0.0876982662912863
"ADMINISTRATIVE INVESTIGATOR",95642.2424242424,98202.9828037233,94565.442747805,0.0188699993036255
"ADMINISTRATIVE JUVENILE COUNSELOR",112550,139046.020525538,86201.7995689248,0.234604805207222
"ADMINISTRATIVE LABOR RELATIONS ANALYST",118376.875,119277.762991559,117993.782476358,0.00541143908625197
"ADMINISTRATIVE LANDMARKS PRESERVATIONIST",101807.555555556,105610.702401523,98847.5792925778,0.0330782546586411
"ADMINISTRATIVE LANDSCAPE ARCHITECT",125429,123248.928619656,129765.94033949,-0.0257574258249879
"ADMINISTRATIVE LAW JUDGE",159787,167868.747449946,154359.570508408,0.0419242387730911
"ADMINISTRATIVE MANAGEMENT AUDITOR",120309.406779661,119148.022466338,122426.004220084,-0.0135692640417883
"ADMINISTRATIVE MANAGER",125855.696969697,129794.565921137,123882.840078218,0.0233041086951749
"ADMINISTRATIVE NUTRITIONIST",99300.6666666667,97748.3451952324,99302.188824979,-0.00788550834166843
"ADMINISTRATIVE PARKS & RECREATION MANAGER",97843.3170731707,96996.6667295687,99378.3732770965,-0.0121283567781677
"ADMINISTRATIVE PRINTING SERVICES MANAGER",110611.285714286,110599.75506827,114403.780937298,-0.0169065159444171
"ADMINISTRATIVE PROBATION OFFICER",100191.930232558,101095.15999703,99604.0837266706,0.00742940652238817
"ADMINISTRATIVE PROCUREMENT ANALYST",89848.0723214286,93372.1499086012,87638.2182815881,0.0316773656909445
"ADMINISTRATIVE PROJECT DIRECTOR",110356.107142857,105749.925154961,113899.052528913,-0.0371006842821747
"ADMINISTRATIVE PROJECT MANAGER",117922.358490566,118145.578043452,117313.514254862,0.00353379340958246
"ADMINISTRATIVE PSYCHOLOGIST",145153.2,121046.765105345,181108.464707028,-0.198777627112325
"ADMINISTRATIVE PUBLIC HEALTH NURSE",110292.230769231,100418.64633315,111271.645552052,-0.0512682897371027
"ADMINISTRATIVE PUBLIC HEALTH SANITARIAN",128550.409090909,130693.726591367,126230.484907152,0.01737182205672
"ADMINISTRATIVE PUBLIC INFORMATION SPECIALIST",112322.621818182,116728.22578259,109557.33721688,0.0316895539894734
"ADMINISTRATIVE PUBLIC RECORDS OFFICER",112045.692307692,122656.378774677,102955.513753232,0.0873219261657857
"ADMINISTRATIVE QUALITY ASSURANCE SPECIALIST",102077.1284,104398.602115378,97476.135494107,0.0342909008984656
"ADMINISTRATIVE REAL PROPERTY MANAGER",121660,147918.570005229,103699.746836467,0.175737695585105
"ADMINISTRATIVE RETIREMENT BENEFITS SPECIALIST",122272.58,130523.008918753,116983.887356347,0.0547019972621589
"ADMINISTRATIVE RETIREMENTS BENEFITS SPECIALIST",94337,94331.9533559456,98674,-0.02249695705524
"ADMINISTRATIVE SANITATION ENFORCEMENT AGENT",95404,95404,95404,0
"ADMINISTRATIVE SCHOOL FOOD SERVICE MANAGER",106760.473684211,104384.239462586,108486.254940349,-0.0192700049354828
"ADMINISTRATIVE SPACE ANALYST",108848.527777778,111475.715283354,104286.068141052,0.0333221529234386
"ADMINISTRATIVE STAFF ANALYST",108992.833865422,109744.602642699,108383.564152708,0.00623962741715977
"ADMINISTRATIVE STOREKEEPER",105776.066666667,106488.40432105,103360.300517959,0.0149064718102061
"ADMINISTRATIVE SUPERINTENDENT OF BRIDGE OPERATIONS",127117,127117,127117,0
"ADMINISTRATIVE SUPERINTENDENT OF HIGHWAY OPERATIONS",138322.739130435,140550.967879856,122136.779568769,0.070099151901588
"ADMINISTRATIVE SUPERVISOR OF BUILDING MAINTENANCE",116691.634615385,120620.935849613,96262.5957520583,0.112310694674095
"ADMINISTRATIVE TAX AUDITOR",114984.296296296,114514.904399336,115876.856748149,-0.00591146290140878
"ADMINISTRATIVE TRANSPORTATION COORDINATOR",141790.476190476,142864.215103424,122637.734347489,0.0761820423456983
"ADMINISTRATOR",153529.727272727,148874.805731741,164381.701513375,-0.0495022303543094
"ADMINISTRATOR OF MEDICAL AFFAIRS",207387,207387,NA,NA
"ADMINISTRATOR SUPT CAMPUS B/G",96816,101291.847617841,83496.942277837,0.0962986193591606
"ADULT ED-30 H",42087.6896551724,42564.2963726352,41939.2337928907,0.00739688127253627
"ADULT ED-35 H",45684.5,NA,45684.5,NA
"ADULT EDUCAT TEACH - REG SUB",35854.25,37194.2274429785,35406.7319084782,0.0246208252682612
"ADULT EDUCATION TEACHER",104126.097938144,102686.626629409,104921.49138808,-0.0107648235532023
"AGENCY ATTORNEY",87428.9488054608,87273.0970311231,87532.6569602523,-0.00148484774215152
"AGENCY ATTORNEY INTERNE",65630.0365853659,66277.6431871275,65240.8248236896,0.00788344313250813
"AGENCY CHIEF CONTRACTING OFFICER",159319.965517241,161790.30635744,156652.236733339,0.0161349974605507
"AGENCY DEPUTY MEDICAL DIRECTOR",169511.545454545,173326.280158993,159359.202768741,0.0419828279470967
"AGENCY MEDICAL DIRECTOR",189340.192307692,193889.39928759,187315.136657382,0.0172460241426833
"AIR POLLUTION INSPECTOR",47760.7083333333,47875.2274766729,46784.9540854188,0.0115177614627637
"ANALYST",74847.7230769231,73625.5929530753,76255.6705697752,-0.0175477411577799
"ANNUAL ED PARA",37565.1831014076,36757.0308017937,37751.7290493095,-0.013350084600839
"APPRAISER",85829.2222222222,83776.7703356479,92925.4978977403,-0.0517748167782928
"APPRENTICE",50653.1810344828,47781.831022036,59872.486591306,-0.112309992179743
"APPRENTICE INSPECTOR",37775.368852459,37722.3433068443,37954.4440790719,-0.00306700086307829
"ARCHITECT",96214.2111111111,97141.7090404636,94380.2259989685,0.0144186254223388
"AREA MANAGER OF SCHOOL MAINTENANCE",133876.541666667,135534.290620438,122182.508613385,0.0518079614784436
"AREA SUPERVISOR",107711.126984127,107815.456138044,105467.894669667,0.0110067731939083
"ARTS PROGRAM SPECIALIST",54139.5,55583.9739887554,52693.7608986009,0.0266925891381209
"ASBESTOS HANDLER",79808.72,79809.362672597,79763.177692034,0.000289429374612407
"ASBESTOS HANDLER SUPERVISOR",83756.875,83756.8736530527,83757.6832915572,-4.83324266986507e-06
"ASBESTOS HAZARD INVESTIGATOR",72129.8,72538.4692566865,68526.6105258527,0.028439772174789
"ASIST SYSTMS ANALYST",65507,65496.607646291,71318,-0.0425494941940639
"ASPHALT PLANT MANAGER",167304,167296.194866366,169434.500861409,-0.00635019623150778
"ASPIRING PRINCIPAL",119357,119357,119357,0
"ASSIST COORDINATING MANAGER",50881,50962.7486407098,50864.0971661942,0.000968815971209508
"ASSISTANCE FINANCE OFFICER",68629.3333333333,72890.5680130899,60445.8251802077,0.0933334293424383
"ASSISTANT ACCOUNTANT",58099,58098.4181024315,59246.3393793232,-0.00978246750452538
"ASSISTANT ADMINISTRATOR",124930.454545455,117656.883559922,127661.224607785,-0.0407810948917971
"ASSISTANT ADMINISTRATOR OF PUBLIC AFFAIRS",122831.5,123127.99075917,93866,0.134851618041562
"ASSISTANT ADVOCATE-PD",106251,93453.4063004045,111078.262825529,-0.0861717728136908
"ASSISTANT ARCHITECT",71189.5245901639,71131.5290435264,71302.1041980091,-0.00119757637715731
"ASSISTANT BUDGET ANALYST",59091.4375,53460.6255377697,62471.1928625273,-0.0777229879518094
"ASSISTANT CAPTAIN",63014,63014,63014,5.77328658249232e-17
"ASSISTANT CHEMICAL ENGINEER",64757.5789473684,64670.3618961588,64890.7740178261,-0.00170122097272747
"ASSISTANT CHIEF FIRE MARSHAL",209080,209080,209080,0
"ASSISTANT CHIEF OF DEPARTMENT",230629.647058824,230629.870882669,230555.578710704,0.000161089583443391
"ASSISTANT CITY ASSESSOR",43631,43583.5376397788,43686.131290696,-0.00117559344700734
"ASSISTANT CITY HIGHWAY REPAIRER",52999,52999,52999,0
"ASSISTANT CIVIL ENGINEER",68930.0471698113,68525.5307780318,69828.5420429657,-0.00941794656540205
"ASSISTANT COLLEGE SECURITY DIRECTOR",80321.2105263158,80801.0778204547,77918.2842097658,0.0181628351690326
"ASSISTANT COMISSIONER FOR FAMILY OPERATIONS",166872,166872,166872,0
"ASSISTANT COMMISSIONER",158251.281690141,157363.654607032,158968.331687995,-0.00507276263698984
"ASSISTANT COMMISSIONER FOR AFTERCARE & PREVENTIVE SVCS",116018,116018,116018,0
"ASSISTANT COMMISSIONER FOR FACILITIES OPERATIONS",155699,155699,155699,0
"ASSISTANT COMMISSIONER FOR LABOR RELATIONS & ADMIN",174804,NA,174804,NA
"ASSISTANT COMMISSIONER FOR MANAGEMENT ACD-DOSS",220141,220141,220141,0
"ASSISTANT COMMISSIONER OF LABOR RELATIONS",170517.428571429,171655.682336577,169659.716178555,0.00584786437033108
"ASSISTANT CORPORATION COUNSEL",107611.471115538,105828.004500235,109048.012846184,-0.0149854245518611
"ASSISTANT COUNSEL",141757,141757,141757,0
"ASSISTANT COUNSEL-PD",112701.875,124267.253326701,111034.667460769,0.0562366249355187
"ASSISTANT DEAN",127603.75,127073.925424842,128135.018597204,-0.0041577428895658
"ASSISTANT DEPUTY ADMINISTRATOR",178737.2,153550.8782228,195521.483023943,-0.120234683293864
"ASSISTANT DEPUTY COMMISSIONER",143143,143143,NA,NA
"ASSISTANT DEPUTY COMMISSIONER SS",171516.25,192561.792253574,150484.650023974,0.122657276228379
"ASSISTANT DIRECTOR",114179,114179.031743765,114168.981719563,4.40118748972527e-05
"ASSISTANT DIRECTOR OF ADMINISTRATION",135754,136318.770197994,134342.480394115,0.00730170942296316
"ASSISTANT DIRECTOR OF FINANCE",148263,148263,NA,NA
"ASSISTANT DIRECTOR OF INTERGROUP RELATIONS",96773.75,102942.18131983,96772.5324209304,0.0308923102526545
"ASSISTANT DIRECTOR OF LEGAL SERVICES",130290,133384.286758331,127129.463957922,0.0240095687203179
"ASSISTANT DIRECTOR OF TOXICOLOGY",120000,NA,120000,NA
"ASSISTANT DISTRICT ATTORNEY",101055.689590973,101656.327573542,100507.778198227,0.00568127250349865
"ASSISTANT DISTRICT MANAGER",54367.3333333333,50609.4801282344,59752.5662537641,-0.0828462902353454
"ASSISTANT ELECTRICAL ENGINEER",69264.1509433962,68825.4672656133,71123.4473366212,-0.01642013500097
"ASSISTANT ENVIRONMENTAL ENGINEER",66457.0212765957,66376.7106981144,66593.5693017522,-0.00163088025112023
"ASSISTANT EXECUTIVE DIRECTOR",180493.166666667,185712.688214991,170155.286041019,0.0437167806586039
"ASSISTANT HIGHWAY TRANSPORTATION SPECIALIST",59629.6545454545,59376.6110503607,60340.6841302748,-0.00805291397921671
"ASSISTANT HOUSING MANAGER",71780.0469798658,72520.918152136,71553.0613999648,0.00671777620900158
"ASSISTANT LANDSCAPE ARCHITECT",64636.46,64641.7237655158,64630.737776165,8.49832146750387e-05
"ASSISTANT LEGISLATIVE REPRESENTATIVE",114019.142857143,124922.518593955,99520.62515052,0.113177408851281
"ASSISTANT MECHANICAL ENGINEER",66638.8604651163,66173.7700078626,68500.9060742871,-0.017279685640417
"ASSISTANT MEDIA SERVICES TECHNICAN",32852.6,32854.0436000715,32379.2439142025,0.00727848777765721
"ASSISTANT PLAN EXAMINER",70662.7719298246,71015.6918101141,70152.3319495205,0.00611583159982212
"ASSISTANT PRINCIPAL",129341.528089888,131276.704330533,128420.053759167,0.0109999469857821
"ASSISTANT PRINCIPAL ADMIN",122567,NA,122567,NA
"ASSISTANT PRINCIPAL ASSIGNED",132217,130502.656892255,133932.194997488,-0.0129693120279894
"ASSISTANT PRINCIPAL CUSTODIAL SUPERVISOR",43516.2,43518.6572672029,43503.2162508224,0.000177438335401087
"ASSISTANT PRINTING PRESS OPERATOR",58635.7777777778,58710.8985173499,58046.93222793,0.00568669600301537
"ASSISTANT PROFESSOR",79054.254857997,78650.9004495966,79392.4479136373,-0.00469205108421552
"ASSISTANT PURCHASING AGENT",45087.6666666667,44506,45378.5,-0.00970690163487587
"ASSISTANT RESIDENT BUILDING SUPT",68602.3184079602,68771.2417514937,68004.8536064449,0.00560323163958741
"ASSISTANT RETIREMENT BENEFITS EXAMINER",47967.0476190476,48328.5311458712,47720.8049971157,0.0063272290383229
"ASSISTANT SECRETARY TO THE COMPTROLLER",75000,75000,NA,NA
"ASSISTANT SERGEANT AT ARMS",48426.8181818182,48664.7743026582,46081.5179202326,0.0272649865426768
"ASSISTANT SUPERINTENDENT",165591.45410628,165997.034478656,165405.860417134,0.00178385303999332
"ASSISTANT SUPERINTENDENT OF WELFARE SHELTERS",66837.1168831169,67278.6488170605,66288.9531890657,0.00740969825863405
"ASSISTANT TEACHER",31044,28817.6319871074,31375.5899293226,-0.0424957804346581
"ASSISTANT TO DEPUTY COMPTROLLER",125000,125000,125000,-5.82076609134674e-17
"ASSISTANT TO HEO",55336.2345013477,55609.6128284661,55245.6428432557,0.00328329029602568
"ASSISTANT TO POLICE COMMISSIONOR",217244,217244,217244,0
"ASSISTANT TO THE CHAIRMAN",202516,202516,202516,0
"ASSISTANT TO THE COMMISSIONER",90000,90000,90000,8.0843973490927e-17
"ASSISTANT TO THE COMMISSIONER OF PARKS AND RECREATION",158500,157001.449073165,159997.763090933,-0.00945211818450002
"ASSISTANT TO THE COMPTROLLER",143627.5,196654,91027.2933144174,0.367165711293363
"ASSISTANT TO THE DEPUTY COMMISSIONER",148620,148620,148620,0
"ASSISTANT TO THE DEPUTY MAYOR",199104.4,187132.395135982,208577.192234512,-0.0541932714873851
"ASSISTANT TO THE MAYOR",186324,151996,220391.720139647,-0.18366803318326
"ASSISTANT TO THE PRESIDENT",81736.7407407407,75725.0382866184,87301.848603248,-0.0710116627844971
"ASSISTANT TO THE PUBLIC ADVOCATE",57910.8113043478,54386.4238589064,61238.5862649124,-0.0592619399442059
"ASSISTANT URBAN DESIGNER",64719.15,63962.9662602924,65266.6422700288,-0.0100880597299848
"ASSISTANT VICE PRESIDENT",153668.714285714,153748.625426344,153525.316342772,0.000726742665802339
"ASSOC INSPECTOR",87033.2,85800.3847157847,91904.0259002356,-0.0343471564002962
"ASSOC SPVR OF SCHOOL SECURITY",74373.9696969697,75642.7806108352,73577.2500350888,0.0138421803480766
"ASSOC SUPVR OF SCHL SEC",110018.5,108059.96843883,110669.653863549,-0.0119311019570593
"ASSOC WATER USE INSPECTOR-MGRL",146013,146013,NA,NA
"ASSOCIATE ADMINISTRATOR",145307.090909091,143128.168181922,149119.002284938,-0.0204992031007367
"ASSOCIATE AIR POLLUTION INSPR",63523.6710526316,63133.9450269274,66830.6300592149,-0.0284437896237287
"ASSOCIATE ARTS PROGRAMS SPECIALIST",62098.2857142857,61484.1566965581,62439.6375518276,-0.00771022918612708
"ASSOCIATE CALL CENTER REPRESENTATIVE-NON-SPVR",59155.6551724138,58480.4242159812,59461.7732953426,-0.00832059347772604
"ASSOCIATE CHEMIST",72747.5181818182,73593.0966657734,71659.9745301927,0.0133086489646245
"ASSOCIATE COMMISSIONER",207000,207000,207000,7.02991073834147e-17
"ASSOCIATE COMMISSIONER FOR ADULT SERVICES",209546,NA,209546,NA
"ASSOCIATE COMMISSIONER FOR EMPLOYMENT SERVICE",151341,151341,151341,0
"ASSOCIATE COMMISSIONER FOR PERSONNEL SERVICE",126169,NA,126169,NA
"ASSOCIATE CONTRACT SPECIALIST",70135.1714285714,70541.0001366323,69958.2458251232,0.00414773977981214
"ASSOCIATE CORRECTIONAL COUNSELOR",59626.0740740741,59788.198978954,59516.1803690173,0.00228003876658473
"ASSOCIATE COUNSEL",156494,154500,158481.913308913,-0.0127225029293727
"ASSOCIATE DEAN",138727.2,143706.460412042,135342.050252554,0.0299747529186495
"ASSOCIATE EDUCATION ANALYST",96056.2777777778,96234.3794710317,95897.2828808212,0.00175450826836225
"ASSOCIATE EDUCATION OFFICER",94693.48,96434.7261821435,93763.9920456755,0.0140418093315906
"ASSOCIATE EXECUTIVE DIRECTOR",106527,NA,106527,NA
"ASSOCIATE FINGERPRINT TECHNICIAN",43225.8611111111,45265.5154543411,42395.3077601286,0.0327421941634097
"ASSOCIATE FIRE PROTECTION INSPECTOR",66987.3820224719,67009.4297224794,66038.2146105993,0.0072997542853806
"ASSOCIATE FRAUD INVESTIGATOR",70061.2714285714,69895.9425316814,70200.0754390313,-0.00217088902136728
"ASSOCIATE HOUSING DEVELOPMENT SPECIALIST",91943.1886792453,90835.470353257,92884.4391234882,-0.0111526767897227
"ASSOCIATE HUMAN RIGHTS SPECIALIST",70072.9230769231,73778.4338462257,64238.4330438435,0.0691219922415768
"ASSOCIATE INSPECTOR",76457.2345787546,76763.5755783183,72383.3695720752,0.0293683923718737
"ASSOCIATE INVESTIGATOR",63524.2934782609,65090.303699723,62566.7965225779,0.0197678560201568
"ASSOCIATE JOB OPPORTUNITY SPECIALIST",62612.8022759602,63173.1042245252,62464.67317144,0.00563867865039056
"ASSOCIATE JUVENILE COUNSELOR",63319.5,63316.4847518031,63885.3644012744,-0.00447225927342266
"ASSOCIATE LABOR RELATIONS ANALYST",86008.5625,85440.2937038374,86266.9479877627,-0.00481432393754275
"ASSOCIATE LABORATORY MICROBIOLOGIST",73779.5384615385,71817.1754159175,75129.9058548031,-0.0225436967528641
"ASSOCIATE LANDMARKS PRESERVATIONIST",82011,NA,82011,NA
"ASSOCIATE OPERATIONS COMMUNICATIONS SPECIALIST",62732.6666666667,62732.2733326685,63017.4763887361,-0.00226802086445006
"ASSOCIATE PARK SERVICE WORKER",50891.2777777778,50945.5478971189,50559.4038189459,0.0038041895655807
"ASSOCIATE PARKING CONTROL SPECIALIST",57275.8333333333,56030.9844307931,59476.6060032972,-0.0298302610205536
"ASSOCIATE PROFESSOR",94727.09,95583.6207440809,94131.3003639235,0.00765527756949887
"ASSOCIATE PROJECT MANAGER",88201.4545454545,88245.272849926,88017.4966781367,0.00129225344863925
"ASSOCIATE PUBLIC HEALTH SANITARIAN",74982.0147058823,74470.9419874325,75468.39627745,-0.00665238556845846
"ASSOCIATE PUBLIC INFORMATION SPECIALIST",56921,NA,56921,NA
"ASSOCIATE PUBLIC RECORDS OFFICER",67346.1,61084.3536414287,68058.592691862,-0.0540040261466105
"ASSOCIATE QUALITY ASSURANCE SPECIALIST",69254.7971014493,69527.6350228645,68493.28781672,0.00749413338836116
"ASSOCIATE REAL PROPERTY MANAGER",67096.1282051282,67093.4806676838,67098.5385216445,-3.76911681581917e-05
"ASSOCIATE REHABILITATION SPECIALIST",70161,70161,NA,NA
"ASSOCIATE RETIREMENT BENEFITS EXAMINER",62363.5756302521,63232.578054485,61739.1859371675,0.0119498362639517
"ASSOCIATE SANITATION ENFORCEMENT AGENT",45788.9791666667,44987.2788354298,46899.7316876894,-0.0208130925293127
"ASSOCIATE SCHOOL FOOD SERVICE MANAGER",68009.5178571429,68494.8501409018,67845.1772106047,0.00476509314921982
"ASSOCIATE STAFF ANALYST",81138.373088685,81022.0149499262,81228.5401599859,-0.00127287829566964
"ASSOCIATE TAXI & LIMOUSINE INSPECTOR",55839.6538461538,55672.9285272702,56677.9741404007,-0.00894559446579106
"ASSOCIATE TRAFFIC ENFORCEMENT AGENT",49638.5405405405,49937.4034496036,49407.0241104598,0.00533879304728139
"ASSOCIATE URBAN DESIGNER",85670.6470588235,86098.253904508,85234.8695514809,0.00503921445901202
"ASSOCIATE URBAN PARK RANGER",54952.9090909091,54978.7099072814,54927.1415816637,0.000469204550250006
"ASSOCIATE WATER USE INPECTOR",64632.8958333333,64263.2565844415,70013.8214480599,-0.0428261096225706
"ASSOCIATE YOUTH DEVELOPMENT SPECIALIST",69903.4230769231,69660.3423729624,70175.3207774274,-0.00368274010265278
"ASST COMMISSIONER",166347.666666667,168420.45255709,165544.222342424,0.0086123785862414
"ASST COMMISSIONER FOR NON-SECURE DETENTION JUVENILE JUSTICE",167269,167269,167269,0
"ASST COMMISSIONER FOR PLANNING & PRG DEVE",130288,130288,130288,0
"ASST COMMISSIONER FOR PLANNING & PROGRAM DEV",146013,NA,146013,NA
"ASST COMMISSIONER FOR PUBLIC & LEGIS AFFAIRS",95000,95000,95000,0
"ASST PB HLTH ADV",40160.8571428571,41748.4058810146,39892.9936233086,0.0227263651648664
"ASST PROJECT PLANNER",51222.2222222222,51811.9670649063,51047.1603718844,0.00743547716260702
"ATTORNEY-CAMPAIGN FIN BOARD",101321.375,91359.5430218597,117004.087676098,-0.123075915736046
"ATTORNEY AT LAW",98642.7972972973,99177.8407004511,98141.8430348837,0.00525035133827266
"AUTO BODY WORKER",56238.3157894737,55674.2489774474,60969.9004995167,-0.0454000611759364
"AUTOMOTIVE SERVICE WORKER",40057.2937062937,40196.7035244593,36116.2425626403,0.0534701013529442
"AUTOMOTIVE SPECIALIST",83436,83436,83436,0
"BAKER",35541.3333333333,35541.3333333333,NA,NA
"BATTALION CHIEF",155809.586206897,155806.686644627,156328.982374934,-0.00167329716577168
"BIO-MEDICAL EQUIPMENT TECHNICIAN",51226,51226,51226,0
"BOOKBINDER",45472.2857142857,45481.3567471182,40374.435285342,0.0594825502261443
"BOOKKEEPER",50165.5482233503,49228.5459008334,50656.4404591966,-0.0142953872288319
"BOROUGH COMMISSIONER",164296.625,163195.540966959,167570.046575821,-0.0132253951850308
"BOROUGH DIRECTOR OF RECREATION",135000,135000,135000,0
"BOROUGH PRESIDENT",179200,179200,179200,0
"BRIDGE OPERATOR",46208.375,46420.1185186748,43555.6682960836,0.0318357896495919
"BUDGET ANALYST",89380.0275689223,90246.5227300551,88373.4788676072,0.0104861932913138
"BUSINESS DATA AND REPORTING ANALYST",44553.45,44649.0241742487,44491.8472280439,0.00176324220003853
