"Title","Average_2014","Male_2014","Female_2014","Gap_2014","Average_2015","Male_2015","Female_2015","Gap_2015","Average_2016","Male_2016","Female_2016","Gap_2016","Average_2017","Male_2017","Female_2017","Gap_2017","Average_2018","Male_2018","Female_2018","Gap_2018","Average_2019","Male_2019","Female_2019","Gap_2019","Average_2020","Male_2020","Female_2020","Gap_2020"
"*ASSOCIATE EDUCATION OFFICER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94987.4083652039,96057.73039127,94414.0151131301,"0.9%",NA,NA,NA,NA,97244.96875,99997.3637716197,95934.7716359449,"2.1%"
"*ASSOCIATE EXECUTIVE DIRECTOR",118909.969350549,136504.385860952,101352.068102635,"14.8%",123822.372469567,141884.267650011,105797.96275181,"14.6%",118450.354502299,135231.21290771,107262.384406353,"11.5%",119987.693855737,136986.209356679,108654.609545897,"11.5%",104595.847401822,NA,104595.847401822,NA,NA,NA,NA,NA,109723,NA,109723,NA
"*ATTORNEY AT LAW",91207.6731860507,91598.1862599633,90771.9130481563,"0.5%",NA,NA,NA,NA,96076.3546184789,103718.642345526,88419.9902058765,"8.0%",NA,NA,NA,NA,96776.7543337853,97785.2136444871,95836.0194424314,"1.0%",NA,NA,NA,NA,101949.425531915,104680.754140851,99141.0959722279,"2.7%"
"*CERTIFIED APPLICATIONS DEVELOPER",106334.928961645,103994.338050255,107115.125932108,"-1.5%",110379.598404423,108557.020588495,110987.124343066,"-1.1%",NA,NA,NA,NA,113420.641080928,111547.989507697,114044.858272005,"-1.1%",108262.674767892,103753.456499125,112757.414375625,"-4.2%",NA,NA,NA,NA,129573,NA,129573,NA
"*CERTIFIED DATABASE ADMINISTRATOR",117721.829204446,118137.053251131,104822.693096602,"6.0%",136353.496863126,136353.496863126,NA,NA,138315.290425745,138315.290425745,NA,NA,140110.468713526,140110.468713526,NA,NA,136207.416871039,136207.416871039,NA,NA,NA,NA,NA,NA,142885,142885,NA,NA
"*CERTIFIED LOCAL AREA NETWORK ADMINISTRATOR",93223.7863149661,93172.9752389148,94874.1383029844,"-0.9%",NA,NA,NA,NA,102632.18191585,102632.18191585,102632.18191585,"0.0%",99764.9715432965,99673.252656175,101613.047485317,"-1.0%",97277.0412340351,97186.4638941617,98776.7428918291,"-0.8%",NA,NA,NA,NA,103834.363636364,103853.271816557,103591.061150062,"0.1%"
"*CERTIFIED WIDE AREA NETWORK ADMINISTRATOR",104690.145446843,104690.627065276,104540.616531534,"0.1%",114051.516137658,114514.471879425,109567.046939279,"2.2%",115818.812275135,120547.878475691,111094.66660082,"4.1%",121576.195373066,121621.036424065,115712.012384357,"2.5%",118541.721446317,121625.651901235,109469.629994381,"5.3%",NA,NA,NA,NA,123983.5,124029.230480446,118003,"2.5%"
"*COMMUNITY LIAISON WORKER",51091.2912224794,51091.2912224794,NA,NA,53333.1292240498,53333.1292240498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"*COOK",37346.1785220722,37114.8828774438,37737.6507446595,"-0.8%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38841.4518208891,38804.9385668644,38899.7422915125,"-0.1%",NA,NA,NA,NA,40910.2452830189,40878.3991963653,40955.8538413621,"-0.1%"
"*COORDINATING MANAGER",65916.4739922146,71707.9055440364,64631.954021641,"5.2%",69808.1666235373,74869.1745166453,68598.7294328951,"4.4%",71766.0367600868,77635.7808049,70108.8138433428,"5.1%",72464.7601165539,71922.7455196865,72578.5464785917,"-0.5%",67657.9101586139,77331.5527065823,65531.4427580747,"8.3%",NA,NA,NA,NA,71778,78762.8569953965,70242.5834674491,"5.7%"
"*CUSTODIAL ASSISTANT",34304.7806890177,34325.377930895,34102.1436933303,"0.3%",36103.652174515,36130.5385012339,35745.6834090931,"0.5%",NA,NA,NA,NA,37323.553141343,37350.9979699523,36719.801760145,"0.9%",37069.7993215912,37069.611901413,37156.258407445,"-0.1%",NA,NA,NA,NA,39643,39642.3290301939,39967.3410963883,"-0.4%"
"*DIR OF FISCAL AFFAIRS",88291.3719033347,NA,88291.3719033347,NA,95690.7467905427,NA,95690.7467905427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"*DIRECTOR OF HEALTH CARE PROGRAM PLANNING/ANALYSIS",98144.8937111929,123197.872381189,91904.1479933086,"14.5%",102441.427829182,128603.546315586,95924.393225615,"14.6%",103914.910138917,130453.08226663,97304.1998418274,"14.6%",105263.71739093,132146.529026694,98567.1567220187,"14.6%",91184.0096545848,91371.9207965729,91183.928617309,"0.1%",NA,NA,NA,NA,110265.666666667,134765.184538965,98068.6744080943,"15.8%"
"*FIRST ASST MARINE ENGINEER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81375.9411251582,81375.9411251582,81375.9411251582,"0.0%",79109.0547186037,79109.0547186037,79109.0547186037,"0.0%",NA,NA,NA,NA,NA,NA,NA,NA
"*HOUSING CARETAKER",42305.740253171,42305.740253171,42305.740253171,"0.0%",NA,NA,NA,NA,NA,NA,NA,NA,45378.6849237649,45378.6849237649,45378.6849237649,"0.0%",44114.5726741408,44114.5726741408,44114.5726741408,"0.0%",NA,NA,NA,NA,44930,44930,44930,"0.0%"
"*PERSONNEL PROGRAM DEVELOPEMENT SPECIALIST",77372.0477256345,NA,77372.0477256345,NA,80768.120349916,NA,80768.120349916,NA,91041.9998001199,91041.9998001199,91041.9998001199,"0.0%",92223.6789404494,92223.6789404494,92223.6789404494,"0.0%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"*PRINCIPAL PARK SUPERVISOR",78994.0623190055,78994.0490021155,79000.1192538494,"0.0%",82500.3268786528,82500.3125886568,82506.8264122799,"0.0%",83708.2989456326,83708.2844747441,83714.880754801,"0.0%",84796.2756256681,84796.2756256681,84796.2756256681,"0.0%",82434.109094818,82434.109094818,82434.109094818,"0.0%",NA,NA,NA,NA,86535,86535,86535,"0.0%"
"*PROCURMENT ANALYST LEVEL III, OJ",72992.8251704035,72992.8251704035,NA,NA,76195.4414471276,76195.4414471276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"*RESEARCH SCIENTIST",99503.4393565765,99503.4393565765,99503.4393565765,"0.0%",104083.912445247,104083.912445247,104083.912445247,"0.0%",105696.548520887,105696.548520887,105696.548520887,"0.0%",107067.951740322,107067.951740322,107067.951740322,"0.0%",104085.363999745,104085.363999745,104085.363999745,"0.0%",NA,NA,NA,NA,NA,NA,NA,NA
"*SENIOR COOK",40778.3497488639,40676.8102451176,41119.1687372126,"-0.5%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43814.8706166194,43005.3156067726,46606.7999868358,"-4.0%",NA,NA,NA,NA,44870.8333333333,44974.1356329294,44605.1873862519,"0.4%"
"*SENIOR STAFF OFFICER",74890.2352896544,74890.2352896544,74890.2352896544,"0.0%",78130.5775129704,78130.5775129704,78130.5775129704,"0.0%",79254.7385318809,79254.7385318809,79254.7385318809,"0.0%",80283.5829862519,80283.5829862519,80283.5829862519,"0.0%",78047.1263576138,78047.1263576138,78047.1263576138,"0.0%",NA,NA,NA,NA,88422,88422,88422,"0.0%"
"*SENIOR SYSTEMS ANALYST",59342.7483490775,73254.1505138622,55863.4523572671,"13.5%",59236.3765157349,73122.8425022366,55763.3171594644,"13.5%",59375.9856461123,77985.5059464321,53172.8122126724,"18.9%",53960.5959726266,NA,53960.5959726266,NA,49148.748009364,NA,49148.748009364,NA,NA,NA,NA,NA,47995,NA,47995,NA
"*SR MANAGEMENT CONSULTANT",85914.5019398148,94384.3643304929,82935.27021697,"6.5%",85725.8542914088,94215.1804259381,82511.0615574511,"6.6%",91004.9879544495,101377.995847277,87073.027372835,"7.6%",93464.564077992,107683.491748063,88380.5170414873,"9.8%",92411.7857735395,104753.118562912,85532.0272232725,"10.1%",NA,NA,NA,NA,87021.7,100738.454179522,81311.4854242243,"10.7%"
"*SUPERVISOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45949.69952245,46053.2620778125,45079.8338798089,"1.1%",44420.8456480715,44499.8954309079,43814.8796058937,"0.8%",NA,NA,NA,NA,NA,NA,NA,NA
"*SUPVSNG SYSTEMS ANALYST",63335.9111920449,64885.0465609263,62558.7077429112,"1.8%",NA,NA,NA,NA,61309.2892889266,68805.5605196332,53809.0351289226,"12.2%",62157.4955463,69750.9856268307,54559.9708820169,"12.2%",60425.9766259515,67807.9351505474,53040.0959088448,"12.2%",NA,NA,NA,NA,59007.5,66216.1698794541,51795,"12.2%"
"*SURGEON",NA,NA,NA,NA,142170.810260165,142170.810260165,142170.810260165,"0.0%",142105.850864481,142105.850864481,142105.850864481,"0.0%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"*SYSTEMS ANALYST",47495.7729715686,47424.2885880232,47495.8589043633,"-0.1%",47676.7164022099,47342.5628393487,47676.9920975492,"-0.4%",50519.0985808515,50445.1306425771,50519.1535012299,"-0.1%",51814.6633404928,51198.4626410897,51815.0792417141,"-0.6%",50687.2640841482,49774.6360307147,50687.9417004131,"-0.9%",NA,NA,NA,NA,48486.6666666667,45667.6815081702,48488.2674968098,"-3.0%"
"*WATCHPERSON",39093.1538626908,39055.5151619077,40381.2242750737,"-1.7%",45036.8286017243,45033.6818527957,45144.5165427486,"-0.1%",46615.6460623626,46639.0257381529,45815.5475464721,"0.9%",48031.1032398363,48031.1032398363,NA,NA,46693.1026770074,46693.1026770074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"?ASSISTANT PURCHASING AGENT",40390.6209728071,41180.3049938667,40233.0291041343,"1.2%",41106.4893270554,41106.4893270554,41106.4893270554,"0.0%",39900.6737790659,38339.8126329492,40680.7787577453,"-3.0%",42905.6050581745,39092.0953644662,44176.7749560773,"-6.1%",42301.2045529828,42946.1442653757,42139.9119709733,"0.9%",NA,NA,NA,NA,NA,NA,NA,NA
"?DIR OF OPERATIONS",NA,NA,NA,NA,159098.921672831,159102.141652943,157330.458400131,"0.6%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"?INFORMATION SYSTEMS AIDE",39904.1611593763,39904.1611593763,39904.1611593763,"0.0%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"?PURCHASING AGENT",54627.0878738445,55288.999081103,54451.3982178213,"0.8%",57538.4786074048,57304.7285065788,57600.522389651,"-0.3%",57060.7340370778,56713.9009666166,57152.714343954,"-0.4%",61322.7948816237,61407.8800175246,61300.2354616022,"0.1%",60334.9395658821,62030.0908540679,59885.4882074834,"1.8%",NA,NA,NA,NA,NA,NA,NA,NA
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",126887.305475738,126970.777436456,126843.736550084,"0.1%",128982.712635244,128779.109747619,129080.077244899,"-0.1%",130395.518868934,130816.615791514,130204.835199545,"0.2%",133330.217949502,134053.246525765,133008.446269327,"0.4%",134967.689752405,136283.153317751,134386.113918802,"0.7%",140027.268097968,140734.093741792,139726.954196188,"0.4%",145623.095238095,145654.061258882,145609.952381974,"0.0%"
"12 MONTH SPECIAL EDUCATION SUPERVISOR",128635.370798926,118244.560679164,129267.908955222,"-4.5%",129680.361964933,120350.331516663,130309.878707095,"-4.0%",131455.684443281,125237.712885674,131806.90787206,"-2.6%",132155.874943339,125461.71196884,132949.322045168,"-2.9%",134809.501340096,126860.082970994,136219.713114164,"-3.6%",143010.203342594,135258.142049189,143930.197343199,"-3.1%",148234.952380952,140337.647188768,149552.946526624,"-3.2%"
"ACCOUNTANT",61658.8109223806,62948.0269174362,60235.6981439952,"2.2%",63859.7796744837,64409.9268705834,63167.2859219245,"1.0%",64326.704027294,65878.2646599985,62705.9784417718,"2.5%",64816.1511288223,66934.867772848,62811.1638585009,"3.2%",62582.3320388464,64155.2682210256,61131.650530564,"2.4%",64961.8845619007,66318.6399745863,63805.1238815962,"1.9%",67980.1174089069,69286.9229710754,66875.7437218372,"1.8%"
"ACTUARIAL SPECIALIST LEVEL I",65420.8938545131,67945.2743817603,61906.9822223783,"4.7%",71107.0017523344,75250.8722330306,66164.7847753665,"6.4%",75792.1435088947,81604.4635035447,69990.4099858649,"7.7%",73984.1907724062,77467.0701108753,69931.3352432531,"5.1%",71482.2491522953,72762.8210083233,69991.4307570492,"1.9%",76290.0250174235,77213.8440743298,74999.7290274798,"1.5%",79696.2142857143,81756.8000866082,76974.9935882276,"3.0%"
"ACTUARIAL SPECIALIST LEVEL II, OJ",99207.4433779734,99207.4433779734,NA,NA,103049.242378722,103049.242378722,NA,NA,109886.622676394,109886.622676394,NA,NA,110014.790596243,119308.261840699,100721.319351787,"8.4%",97915.5295012262,NA,97915.5295012262,NA,100430.504545775,NA,100430.504545775,NA,102715,NA,102715,NA
"ADM MANAGER",NA,NA,NA,NA,NA,NA,NA,NA,72188.808265041,90943.2735034422,68246.7589775419,"14.3%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADM MANAGER-NON-MGR",NA,NA,NA,NA,NA,NA,NA,NA,88886.1252448531,88036.6658212985,89216.4420412481,"-0.7%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADM MANAGER-NON-MGRL",81697.6385024781,85226.0069935898,80502.1084715176,"2.9%",73900.6450738072,75062.5748388094,73502.6347970075,"1.1%",76790.4396952207,80966.1521406038,75623.9511319121,"3.4%",78079.5156354247,79734.2006676742,77664.9689072133,"1.3%",NA,NA,NA,NA,NA,NA,NA,NA,82769.7550831793,86140.5634398358,81912.3820350688,"2.5%"
"ADM MANAGER-NON-MGRL FROM M1/M2",70751.165843376,70932.8005786262,70682.5717090833,"0.2%",NA,NA,NA,NA,76323.4782516853,79999.8491982001,75542.4208742103,"2.9%",80676.4948337081,82523.2937964126,80570.0668078822,"1.2%",77143.6687653833,79332.0976902392,76597.5288248513,"1.8%",77413.8952402761,80207.5679333481,76708.3654162227,"2.2%",NA,NA,NA,NA
"ADM SCHOOL SECURITY MANAGER",76087.2300163132,77637.6851423296,74536.3395526228,"2.0%",NA,NA,NA,NA,85630.891764941,87372.4716669998,83888.8228610847,"2.0%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADM SCHOOL SECURITY MANAGER-U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86333.1929663824,86333.1929663824,86333.1929663824,"0.0%",NA,NA,NA,NA
"ADM TRAFFIC ENFRCMNT AGENT",138773.323418946,138773.323418946,138773.323418946,"0.0%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADM TRAFFIC ENFRCMNT AGENT-DIRECTOR OF PARKING ENFRCMNT DIST",NA,NA,NA,NA,144863.549931203,144863.549931203,144863.549931203,"0.0%",164580.371826904,164580.371826904,164580.371826904,"0.0%",166716.815745826,166716.815745826,166716.815745826,"0.0%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADMIN ASST-CAMPAIGN FIN BOARD",63268.9110691527,49323.3878458436,69481.7066608263,"-17.0%",63778.0477852535,55854.3620963635,67746.1896634699,"-9.6%",62444.6852661131,60390.0856753685,63619.9260926286,"-2.6%",63064.5636209502,61178.6126900499,64322.4741091507,"-2.5%",66811.2433124582,69805.9106205873,65010.2078788005,"3.6%",63023.0798012545,63248.8471689574,62872.2443455094,"0.3%",68601.2727272727,67786.3147792665,69281.6766791112,"-1.1%"
"ADMIN COMMUNITY RELATIONS SPECIALIST",90263.3102268615,91086.1423316802,89934.7057768001,"0.6%",90049.0350862798,88412.9386086957,91086.2872572426,"-1.5%",96972.833659489,96117.5620286961,97754.4306686898,"-0.8%",96275.4738261906,96214.0027618119,96319.9099139457,"-0.1%",86016.5782779202,89578.0034597344,84069.9905251493,"3.2%",85665.7560893717,88749.6919724232,84001.0701356886,"2.7%",86434.5753012048,89492.139857559,84655.8532397599,"2.8%"
"ADMIN CONSTRUCTION PROJECT MANAGER",NA,NA,NA,NA,NA,NA,NA,NA,109312.820059353,112539.05987999,97714.9875546153,"7.1%",111780.121849351,115103.829318371,98983.4681838602,"7.5%",109044.400479146,112684.033616963,97801.1022050295,"7.1%",108722.341271046,110470.98464446,99826.7110191124,"5.1%",112714.757575758,114791.180962119,105015.492802017,"4.4%"
"ADMIN CONTRACT SPECIALIST",99250.7184708795,106757.41280902,95235.0046991837,"5.7%",102355.380009182,108534.403832102,99492.3243705699,"4.3%",104265.833650844,106244.305391406,103252.561953157,"1.4%",108351.397601287,111591.053067827,106428.480354846,"2.4%",106166.78374039,105631.263260878,106460.176248985,"-0.4%",129782.535043789,126808.553399016,131373.465199832,"-1.8%",138243.93442623,135899.498508134,139484.732452394,"-1.3%"
"ADMIN DIR OF LABORATORY",NA,NA,NA,NA,NA,NA,NA,NA,110642.80681591,113176.271323694,109595.657705398,"1.6%",110003.203383583,103775.076579067,110371.410929073,"-3.1%",104204.152514571,106855.379001838,100907.463812095,"2.9%",103510.200131557,103510.200131557,103510.200131557,"0.0%",105888,105888,105888,"0.0%"
"ADMIN HOUSING DEVELOPMENT SPEC",NA,NA,NA,NA,NA,NA,NA,NA,103708.619678193,106012.812724248,100760.886995565,"2.5%",98135.0615891179,103343.080654623,95129.065846499,"4.1%",105304.461854317,109844.137779926,101433.426908281,"4.0%",100398.067704051,103324.539867143,98019.5416952472,"2.6%",101034.069767442,100787.428555571,101240.223099937,"-0.2%"
"ADMIN INSPECTOR",NA,NA,NA,NA,NA,NA,NA,NA,108427.21660096,108979.603569581,93545.992428836,"7.6%",109009.6336603,109505.480161392,101323.994457113,"3.9%",103999.276461127,104302.62435954,98513.4598081512,"2.9%",104645.731544614,104843.937580394,100957.108528883,"1.9%",105517.795454545,105399.899499,109110.102503005,"-1.7%"
"ADMIN JOB OPOR SPEC-MANAGERIAL",110759.27045101,115512.317898636,107215.401358635,"3.7%",117579.232516134,124119.672249162,113059.838300122,"4.7%",124375.060495225,132799.862699381,118546.249346593,"5.7%",129485.295671267,138284.05984798,122347.678055858,"6.1%",127523.396148517,136724.698780828,121611.205846878,"5.9%",134149.629593739,139771.332315307,130538.439400941,"3.4%",138639.476190476,144423.229511566,134789.122066215,"3.5%"
"ADMIN JOB OPPORTUNITY SPEC NM",79490.6127401562,80604.3248838199,78929.6789618048,"1.0%",83539.6251626903,84671.2593327343,82980.9530776555,"1.0%",85121.611942094,85610.7386324969,84888.894020313,"0.4%",86248.9283608102,87392.9146377173,85814.2355830392,"0.9%",84490.053965066,85565.5475386913,84088.150853692,"0.9%",83159.6097784781,84348.1102826802,82654.5752484063,"1.0%",85931.8227848101,86367.2179629513,85729.7985430528,"0.4%"
"ADMIN LANDMARKS PRESERVATIONIST",NA,NA,NA,NA,NA,NA,NA,NA,111413.986108335,111413.986108335,111413.986108335,"0.0%",106465.943373509,112860.504687135,100110.174528567,"6.0%",103500.125756442,109716.554025862,97321.4093154238,"6.0%",102301.686494233,112463.84205363,97227.673957113,"7.3%",101970,123508.418546652,80471.4952034913,"21.1%"
"ADMIN SCHL SECUR MGR",132276.591170631,132276.591170631,132276.591170631,"0.0%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADMIN SCHL SECUR MGR-MGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181460.336833697,181460.336833697,181460.336833697,"0.0%",NA,NA,NA,NA
"ADMIN SCHOOL SECURITY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171683.516444903,171683.516444903,171683.516444903,"0.0%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADMIN TESTS & MEAS SPEC",106354.716238603,112597.412856786,100122.949965688,"5.9%",115525.118400528,119689.14428988,112379.181424297,"3.1%",121467.87910587,122580.467558499,120348.570471057,"0.9%",121455.507781469,124207.408881458,119376.436311831,"2.0%",125534.005489605,120835.082861879,129054.743004802,"-3.3%",116292.74958301,124292.334584994,108303.361011392,"6.9%",119700.6,136694.077245964,108379.343041632,"11.6%"
"ADMIN TRAFFIC ENF AGNT",67772.236756579,68096.2509896869,66961.3692919619,"0.8%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADMIN TRAFFIC ENF AGNT-UNION",NA,NA,NA,NA,68475.3576348627,68272.0255469217,68984.2098943531,"-0.5%",76740.2962079895,76517.9450062798,77296.7450820267,"-0.5%",77441.3267394536,77743.1279381705,77110.7794266563,"0.4%",73990.8057879734,74681.2973041767,72956.8436485687,"1.2%",72662.3859914958,73209.6071864281,71647.9552563064,"1.1%",70685,71071.944223068,69912.5497859668,"0.8%"
"ADMIN TRAFFIC ENFRCMNT AGENT",112992.398952919,112992.398952919,NA,NA,127386.717050203,127386.717050203,NA,NA,129219.659104537,129219.659104537,NA,NA,130896.527883233,130896.527883233,NA,NA,125186.027311527,141586.689621944,116569.460492968,"9.7%",128402.22407812,145223.91178694,119564.459273225,"9.7%",131322.666666667,148527.293151291,122283.713794688,"9.7%"
"ADMINISTRATIIVE TAXI & LIMOUSINE INSPECTOR",109739.541000724,108031.996047979,113994.019083686,"-2.7%",121412.780703763,122708.316206427,118184.855492822,"1.9%",131499.381381885,136393.657105075,102407.953726091,"14.2%",138885.083353956,137938.792849995,141238.331847268,"-1.2%",118782.7802083,111609.516060512,147107.073472284,"-13.7%",121982.247153507,110373.708614284,178499.811870347,"-23.6%",117998.727272727,103279.010045971,183272.292102046,"-27.9%"
"ADMINISTRATION PUBLIC RECORD OFFICER",103510.046705532,105951.953498611,98634.5348273583,"3.6%",108051.951518365,110600.923790518,102962.672670689,"3.6%",116903.015384519,143667.755056961,90220.0612830255,"22.9%",96477.6908193228,107521.466021184,81784.6088882882,"13.6%",108022.409636072,108851.69988449,107194.542042967,"0.8%",NA,NA,NA,NA,NA,NA,NA,NA
"ADMINISTRATIVE  PROGRAM OFFICER",114751.171639457,118890.402688769,113670.83747375,"2.2%",123001.274466984,115621.769731159,125351.030831347,"-4.0%",123385.586286386,117288.841753077,125066.590863204,"-3.2%",112055.672217736,116400.474079012,111578.803032558,"2.1%",110641.959379805,92770.4562893285,111656.517350213,"-9.2%",111834.796946439,95053.0715049795,112837.896938791,"-8.6%",107013.192307692,113934.547595905,104456.670061266,"4.3%"
"ADMINISTRATIVE ACCOUNTANT",107385.776971489,109140.544003665,105167.833159475,"1.9%",113158.077385603,116190.879802785,109692.4525424,"2.9%",116901.533367108,118459.103423817,115534.190588504,"1.2%",116092.798877855,117946.074470218,114480.525664682,"1.5%",111718.81960018,115193.33776936,108990.632298166,"2.8%",116239.89900474,118370.678952546,114543.606445686,"1.6%",117582.765957447,120141.044061077,115708.272049022,"1.9%"
"ADMINISTRATIVE ACTUARY",170420.678562245,172110.88959385,162049.75017408,"3.0%",188943.633408652,191655.889450435,175510.931413699,"4.4%",192268.462636704,201431.831650135,169461.315027846,"8.6%",184659.087857678,189928.22440065,171540.185323369,"5.1%",165633.061481458,166362.457855557,159900.379217082,"2.0%",176057.273780158,177434.570948221,165232.422809542,"3.6%",174536.5,175229.241839724,169773.830088407,"1.6%"
