"Title","Average_2014","Total_2014","Average_2015","Total_2015","Average_2016","Total_2016","Average_2017","Total_2017","Average_2018","Total_2018","Average_2019","Total_2019","Average_2020","Total_2020"
"*CERTIFIED APPLICATIONS DEVELOPER","$0.00","$0","$487.30","$1,949",NA,NA,"$531","$2,125","$286.32","$1,145",NA,NA,"$0.00","$0"
"*CERTIFIED DATABASE ADMINISTRATOR","$39,450.45","$78,901","$375.77","$376","$78.35","$78","$79","$79","$522.58","$523",NA,NA,"$7,696.85","$7,697"
"*CERTIFIED LOCAL AREA NETWORK ADMINISTRATOR","$1,363.08","$38,166",NA,NA,"$19,634.73","$39,269","$6,635","$112,800","$4,361.64","$61,063",NA,NA,"$3,909.13","$43,000"
"*CERTIFIED WIDE AREA NETWORK ADMINISTRATOR","$850.48","$6,804","$1,193.30","$13,126","$834.28","$1,669","$0","$0","$0.00","$0",NA,NA,"$0.00","$0"
"*COMMUNITY LIAISON WORKER","$2,384.50","$4,769","$170.40","$341",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"*COOK","$3,049.27","$301,877",NA,NA,NA,NA,NA,NA,"$4,635.75","$509,932",NA,NA,"$3,552.37","$376,552"
"*COORDINATING MANAGER","$599.47","$10,191","$1,557.91","$24,927","$1,217.27","$17,042","$1,486","$17,837","$56.84","$341",NA,NA,"$0.00","$0"
"*CUSTODIAL ASSISTANT","$3,788.62","$83,350","$2,132.56","$66,109",NA,NA,"$2,952","$70,855","$3,326.60","$66,532",NA,NA,"$3,506.75","$38,574"
"*DIR OF FISCAL AFFAIRS","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"*DIRECTOR OF HEALTH CARE PROGRAM PLANNING/ANALYSIS","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0",NA,NA,"$0.00","$0"
"*FIRST ASST MARINE ENGINEER",NA,NA,NA,NA,NA,NA,"$17,398","$69,590","$18,300.32","$73,201",NA,NA,NA,NA
"*HOUSING CARETAKER","$11,981.28","$623,027",NA,NA,NA,NA,"$11,027","$231,573","$11,156.06","$145,029",NA,NA,"$17,307.14","$69,229"
"*PERSONNEL PROGRAM DEVELOPEMENT SPECIALIST","$0.00","$0","$35.66","$36","$0.00","$0","$0","$0",NA,NA,NA,NA,NA,NA
"*PRINCIPAL PARK SUPERVISOR","$12,312.50","$24,625","$8,688.45","$17,377","$5,839.47","$11,679","$6,277","$6,277","$6,496.31","$6,496",NA,NA,"$11,160.07","$11,160"
"*PROCURMENT ANALYST LEVEL III, OJ","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"*RESEARCH SCIENTIST","$1,077.60","$1,078","$1,616.74","$1,617","$1,202.88","$1,203","$1,234","$1,234","$1,533.75","$1,534",NA,NA,NA,NA
"*SENIOR COOK","$5,693.97","$125,267",NA,NA,NA,NA,NA,NA,"$11,987.27","$215,771",NA,NA,"$7,802.40","$140,443"
"*SENIOR STAFF OFFICER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0",NA,NA,"$0.00","$0"
"*SENIOR SYSTEMS ANALYST","$389.94","$1,950","$618.79","$3,094","$33.46","$134","$0","$0","$0.00","$0",NA,NA,"$0.00","$0"
"*SR MANAGEMENT CONSULTANT","$149.40","$2,839","$0.00","$0","$18.49","$333","$33","$499","$62.81","$691",NA,NA,"$87.20","$872"
"*SUPERVISOR",NA,NA,NA,NA,NA,NA,"$14,346","$186,493","$3,907.58","$46,891",NA,NA,NA,NA
"*SUPVSNG SYSTEMS ANALYST","$0.00","$0",NA,NA,"$0.00","$0","$0","$0","$0.00","$0",NA,NA,"$0.00","$0"
"*SURGEON",NA,NA,"$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA
"*SYSTEMS ANALYST","$0.00","$0","$0.00","$0","$75.58","$756","$4","$40","$71.32","$713",NA,NA,"$0.00","$0"
"*WATCHPERSON","$9,381.89","$18,764","$6,875.20","$13,750","$7,900.26","$15,801","$11,139","$11,139","$9,325.78","$9,326",NA,NA,NA,NA
"?ASSISTANT PURCHASING AGENT","$359.64","$2,158","$145.13","$726","$442.45","$2,655","$937","$3,749","$812.47","$4,062",NA,NA,NA,NA
"?DIR OF OPERATIONS",NA,NA,"$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"?INFORMATION SYSTEMS AIDE","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"?PURCHASING AGENT","$1,612.15","$16,122","$1,788.69","$17,887","$851.35","$8,513","$1,466","$14,658","$798.46","$7,985",NA,NA,NA,NA
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"12 MONTH SPECIAL EDUCATION SUPERVISOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ACCOUNTANT","$1,035.74","$227,862","$1,440.58","$350,060","$1,341.11","$347,348","$1,244","$338,483","$842.57","$248,559","$997.44","$279,283","$838.21","$207,038"
"ACTUARIAL SPECIALIST LEVEL I","$4,209.72","$50,517","$6,468.41","$71,152","$7,039.14","$70,391","$2,960","$38,486","$1,635.78","$21,265","$1,055.22","$12,663","$7.05","$99"
"ACTUARIAL SPECIALIST LEVEL II, OJ","$2,661.24","$2,661","$5,985.79","$5,986","$4,883.59","$4,884","$12,343","$24,686","$26,153.54","$26,154","$15,966.94","$15,967","$16,904.61","$16,905"
"ADM MANAGER",NA,NA,NA,NA,"$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA
"ADM MANAGER-NON-MGR",NA,NA,NA,NA,"$59.29","$1,482",NA,NA,NA,NA,NA,NA,NA,NA
"ADM MANAGER-NON-MGRL","$1,869.05","$80,369","$2,492.35","$2,454,963","$2,976.54","$2,360,393","$3,085","$3,189,773",NA,NA,NA,NA,"$2,587.10","$2,799,243"
"ADM MANAGER-NON-MGRL FROM M1/M2","$2,458.72","$1,932,555",NA,NA,"$4,683.18","$51,515","$3,954","$142,343","$2,807.05","$3,160,741","$2,820.91","$3,176,346",NA,NA
"ADM SCHOOL SECURITY MANAGER","$10,905.60","$43,622",NA,NA,"$13,562.08","$54,248",NA,NA,NA,NA,NA,NA,NA,NA
"ADM SCHOOL SECURITY MANAGER-U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$6,308.14","$12,616",NA,NA
"ADM TRAFFIC ENFRCMNT AGENT","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADM TRAFFIC ENFRCMNT AGENT-DIRECTOR OF PARKING ENFRCMNT DIST",NA,NA,"$0.00","$0","$0.00","$0","$0","$0",NA,NA,NA,NA,NA,NA
"ADMIN ASST-CAMPAIGN FIN BOARD","$4,839.45","$62,913","$469.33","$5,632","$1,713.57","$18,849","$981","$9,805","$1,850.04","$14,800","$460.29","$4,603","$533.30","$5,866"
"ADMIN COMMUNITY RELATIONS SPECIALIST","$66.80","$2,806","$1,496.19","$53,863","$2,859.03","$317,352","$3,467","$897,954","$3,081.22","$1,059,939","$2,781.65","$1,018,083","$2,398.06","$796,155"
"ADMIN CONSTRUCTION PROJECT MANAGER",NA,NA,NA,NA,"$2,426.99","$43,686","$8,642","$164,207","$5,965.87","$95,454","$4,031.87","$104,829","$3,041.81","$100,380"
"ADMIN CONTRACT SPECIALIST","$257.78","$23,715","$13.15","$1,499","$249.10","$36,119","$151","$23,577","$83.13","$12,635","$2.18","$146","$595.09","$36,301"
"ADMIN DIR OF LABORATORY",NA,NA,NA,NA,"$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ADMIN HOUSING DEVELOPMENT SPEC",NA,NA,NA,NA,"$630.17","$10,083","$2,625","$68,261","$3,205.33","$80,133","$2,234.54","$107,258","$2,317.56","$99,655"
"ADMIN INSPECTOR",NA,NA,NA,NA,"$3,991.45","$151,675","$9,342","$364,349","$12,452.47","$560,361","$13,870.60","$651,918","$20,900.22","$919,610"
"ADMIN JOB OPOR SPEC-MANAGERIAL","$0.00","$0","$874.99","$20,125","$5.73","$132","$0","$0","$0.00","$0","$527.16","$12,652","$305.54","$6,416"
"ADMIN JOB OPPORTUNITY SPEC NM","$4,850.79","$363,809","$7,305.29","$555,202","$8,376.48","$678,495","$10,804","$907,545","$6,524.73","$554,602","$6,048.74","$508,095","$8,220.40","$649,412"
"ADMIN LANDMARKS PRESERVATIONIST",NA,NA,NA,NA,"$4,520.27","$4,520","$4,737","$9,474","$6,493.10","$12,986","$2,453.69","$7,361","$3,189.38","$6,379"
"ADMIN SCHL SECUR MGR","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADMIN SCHL SECUR MGR-MGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0",NA,NA
"ADMIN SCHOOL SECURITY",NA,NA,NA,NA,NA,NA,"$0","$0",NA,NA,NA,NA,NA,NA
"ADMIN TESTS & MEAS SPEC","$549.56","$3,297","$1,931.19","$13,518","$42.57","$255","$0","$0","$445.90","$3,121","$6,474.50","$25,898","$5,272.35","$26,362"
"ADMIN TRAFFIC ENF AGNT","$23,194.68","$487,088",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADMIN TRAFFIC ENF AGNT-UNION",NA,NA,"$25,445.80","$534,362","$28,865.40","$606,173","$25,131","$578,020","$22,770.74","$455,415","$21,440.99","$428,820","$17,173.80","$309,128"
"ADMIN TRAFFIC ENFRCMNT AGENT","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$5,929.33","$17,788","$0.00","$0","$0.00","$0"
"ADMINISTRATIIVE TAXI & LIMOUSINE INSPECTOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$1,033.02","$10,330","$1,758.78","$21,105","$54.13","$595"
"ADMINISTRATION PUBLIC RECORD OFFICER","$279.60","$839","$36.82","$110","$0.00","$0","$0","$0","$0.00","$0",NA,NA,NA,NA
"ADMINISTRATIVE  PROGRAM OFFICER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ADMINISTRATIVE ACCOUNTANT","$70.90","$6,664","$50.81","$4,827","$4.55","$459","$75","$6,913","$234.37","$22,266","$118.59","$10,910","$221.71","$20,841"
"ADMINISTRATIVE ACTUARY","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$204.24","$1,838","$0.95","$9","$0.48","$4"
"ADMINISTRATIVE ARCHITECT","$337.57","$19,917","$12.46","$847","$1,368.12","$109,450","$2,574","$216,207","$614.72","$52,251","$710.68","$52,590","$1,466.86","$108,547"
"ADMINISTRATIVE ASSESSOR","$0.00","$0","$0.00","$0","$0.00","$0","$4,139","$28,976","$3.38","$17","$0.00","$0","$0.00","$0"
"ADMINISTRATIVE ASSISTANT","$11,653.67","$780,796","$10,508.53","$693,563","$12,322.32","$788,628","$14,916","$909,864","$8,769.40","$561,242","$16,270.54","$1,008,773","$11,139.96","$935,757"
"ADMINISTRATIVE ASSISTANT TO COMMUNITY EDUCATION COUNCIL",NA,NA,NA,NA,"$64.23","$707","$16","$223","$11.65","$151","$35.81","$465","$6.37","$89"
"ADMINISTRATIVE ASSISTANT TO THE COMPTROLLER","$0.00","$0","$0.00","$0",NA,NA,"$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ADMINISTRATIVE ASSOCIATE","$16,021.55","$576,776","$15,569.93","$576,087","$20,171.87","$786,703","$23,401","$1,029,640","$16,240.47","$763,302","$26,844.97","$1,261,714","$22,721.44","$1,295,122"
"ADMINISTRATIVE ATTORNEY","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0",NA,NA
"ADMINISTRATIVE BLASTING INSPECTOR","$0.00","$0","$0.00","$0","$0.00","$0","$38,420","$38,420","$13,249.55","$26,499","$0.00","$0","$0.00","$0"
"ADMINISTRATIVE BOROUGH SUPERINTENDENT","$0.00","$0","$0.00","$0","$488.70","$1,466","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ADMINISTRATIVE BUSINESS PROMOTION COORDINATOR","$284.33","$8,530","$34.58","$1,245","$33.62","$2,084","$0","$0","$113.14","$8,259","$69.25","$6,579","$269.53","$39,082"
"ADMINISTRATIVE CHIEF","$0.00","$0","$0.00","$0","$0.00","$0","$549","$22,496","$122.40","$6,732","$0.91","$42","$0.00","$0"
"ADMINISTRATIVE CITY PLANNER","$151.10","$9,519","$92.85","$6,593","$292.50","$23,400","$637","$60,495","$541.34","$55,758","$1,260.82","$158,863","$784.57","$113,762"
"ADMINISTRATIVE CLAIM EXAMINER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.31","$10"
"ADMINISTRATIVE COMMUNITY RELATIONS SPECIALIST","$0.00","$0","$0.00","$0","$71.97","$1,799","$125","$7,888","$0.00","$0","-$138.35","-$8,578","$55.20","$3,257"
"ADMINISTRATIVE CONSTRUCTION PROJECT MANAGER","$0.00","$0","$157.20","$7,703","$137.11","$4,799","$0","$0","$0.00","$0","$932.17","$39,151","$1,284.92","$69,386"
"ADMINISTRATIVE CONSULTANT",NA,NA,NA,NA,NA,NA,"$4,381","$8,762","$0.00","$0","$2,740.33","$8,221","$0.00","$0"
"ADMINISTRATIVE CONTRACT SPECIALIST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$497.96","$50,792","$1,363.15","$122,683"
"ADMINISTRATIVE DEPUTY REGISTER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ADMINISTRATIVE DIRECTOR OF LABORATORY","$0.00","$0","$20.88","$355","$0.00","$0","$0","$0","$0.00","$0","$917.57","$16,516","$0.00","$0"
"ADMINISTRATIVE DIRECTOR OF MARINE MAINTENANCE","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ADMINISTRATIVE DIRECTOR OF RESIDENTIAL CHILD CARE","$0.00","$0","$267.98","$4,288","$944.56","$12,279","$1,486","$19,314","$753.26","$8,286","$7,064.20","$155,412","$8,024.26","$224,679"
"ADMINISTRATIVE DIRECTOR OF SOCIAL SERVICES","$227.27","$86,136","$186.01","$77,007","$137.76","$68,465","$141","$88,349","$399.41","$190,919","$956.70","$459,214","$1,416.05","$691,034"
"ADMINISTRATIVE EDUCATION ANALYST","$18.59","$5,707","$92.41","$28,740","$14.29","$4,945","$10","$3,247","$134.08","$44,783","$384.49","$134,954","$397.56","$136,759"
"ADMINISTRATIVE EDUCATION OFFICER","$8.31","$2,143","$389.43","$114,102","$11.37","$4,663","$7","$3,016","$201.32","$90,996","$466.46","$211,773","$321.64","$141,200"
"ADMINISTRATIVE ENGINEER","$243.47","$69,390","$99.06","$27,836","$757.02","$221,808","$1,782","$514,908","$2,278.57","$763,319","$1,949.29","$729,036","$1,231.78","$449,600"
"ADMINISTRATIVE FIRE PROTECTION INSPECTOR","$301.09","$1,807","$0.00","$0","$4,620.85","$32,346","$1,685","$11,798","$4,071.61","$32,573","$0.00","$0","$5,515.32","$66,184"
"ADMINISTRATIVE GRAPHIC ARTIST","$0.00","$0","$1,007.43","$11,082","$0.00","$0","$0","$0","$0.00","$0","$152.34","$2,437","$215.03","$3,440"
"ADMINISTRATIVE HORTICULTURIST","$2,195.07","$54,877","$879.18","$24,617","$39.83","$1,354","$32","$1,356","$115.02","$4,371","$787.43","$30,710","$945.91","$34,998"
"ADMINISTRATIVE HOUSING DEVELOPMENT SPECIALIST","$0.00","$0","$9.97","$249","$20.56","$555","$0","$0","$0.00","$0","$102.61","$3,078","$0.00","$0"
"ADMINISTRATIVE HOUSING MANAGER","$1,820.72","$69,187","$32.51","$1,170","$251.36","$8,043","$0","$0","$0.00","$0","$166.80","$3,503","$2,573.74","$56,622"
"ADMINISTRATIVE HOUSING SUPERINTENDENT","$2,324.65","$134,830","$57.03","$3,365","$254.40","$13,483","$1,345","$69,954","$152.82","$7,030","$531.68","$24,989","$2,152.04","$109,754"
"ADMINISTRATIVE INSPECTOR","$773.70","$56,480","$199.16","$14,339","$663.62","$23,227","$239","$7,662","$464.64","$13,010","$1,685.61","$48,883","$609.25","$25,588"
"ADMINISTRATIVE INVESTIGATOR","$2.63","$152","$126.95","$5,967","$853.58","$39,265","$544","$29,908","$375.51","$21,404","$1,982.17","$128,841","$1,767.01","$111,321"
"ADMINISTRATIVE JUVENILE COUNSELOR","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,"$7,473.38","$14,947","$0.00","$0"
"ADMINISTRATIVE LABOR RELATIONS ANALYST","$0.00","$0","$2,346.85","$21,122","-$111.90","-$2,798","$40","$1,281","$0.00","$0","$0.00","$0","$0.00","$0"
"ADMINISTRATIVE LANDMARKS PRESERVATIONIST","$0.00","$0","$0.55","$4","$0.00","$0","$32","$289","$16.95","$170","$0.00","$0","$0.00","$0"
"ADMINISTRATIVE LANDSCAPE ARCHITECT","$0.00","$0","$23.89","$167","$98.65","$789","$207","$1,659","$1,595.23","$9,571","$3,641.44","$29,131","$2,013.89","$14,097"
"ADMINISTRATIVE LAW JUDGE","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ADMINISTRATIVE MANAGEMENT AUDITOR","$0.00","$0","$0.00","$0","$0.00","$0","$2","$86","$0.00","$0","-$0.01","-$0","$5.57","$290"
"ADMINISTRATIVE MANAGER","$132.71","$22,030","$340.45","$51,748","$251.39","$34,189","$224","$19,915","$41.56","$3,865","$0.00","$0","$190.13","$17,872"
"ADMINISTRATIVE NUTRITIONIST",NA,NA,NA,NA,NA,NA,"$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ADMINISTRATIVE PARKS & RECREATION MANAGER","$100.58","$6,236","$530.75","$35,560","$447.39","$24,606","$70","$3,567","$2,208.26","$101,580","$2,450.49","$196,040","$3,595.48","$345,166"
"ADMINISTRATIVE PRINTING SERVICES MANAGER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ADMINISTRATIVE PROBATION OFFICER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$13.31","$479","$69.01","$2,829","$258.29","$10,073"
"ADMINISTRATIVE PROCUREMENT ANALYST","$2,907.18","$261,646","$2,070.81","$223,647","$2,960.81","$453,004","$2,491","$488,208","$2,303.56","$430,765","$2,252.15","$578,803","$0.00","$0"
"ADMINISTRATIVE PROCUREMENT ANALYST-NON-MGRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$2,125.11","$454,774"
"ADMINISTRATIVE PROJECT DIRECTOR","$0.00","$0","$57.56","$1,324","$0.00","$0","$184","$3,304","$453.12","$7,703","$397.32","$7,152","$50.89","$1,018"
"ADMINISTRATIVE PROJECT MANAGER","$318.60","$75,509","$335.59","$84,232","$1,120.51","$322,706","$2,645","$838,352","$1,753.10","$594,300","$1,864.16","$656,186","$2,235.23","$943,267"
"ADMINISTRATIVE PSYCHOLOGIST","$0.00","$0","$40.69","$163","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ADMINISTRATIVE PUBLIC HEALTH NURSE","$0.00","$0","$1.39","$21","$0.00","$0","-$0","-$6","$116.04","$2,669","$30.57","$673","$503.61","$13,094"
"ADMINISTRATIVE PUBLIC HEALTH SANITARIAN","$30.18","$423","$14.52","$203","$488.07","$7,321","$1,010","$22,221","$0.00","$0","$672.05","$14,113","$0.00","$0"
"ADMINISTRATIVE PUBLIC INFORMATION SPECIALIST","$261.07","$18,536","$83.89","$8,893","$150.40","$20,304","$69","$10,682","$12.23","$1,798","$165.97","$21,244","$79.76","$9,172"
"ADMINISTRATIVE PUBLIC RECORDS OFFICER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0"
"ADMINISTRATIVE QUALITY ASSURANCE SPECIALIST","$1,384.72","$24,925","$466.57","$8,398","$415.06","$11,207","$1,368","$49,262","$758.68","$31,864","$2,271.71","$109,042","$3,853.07","$273,568"
"ADMINISTRATIVE REAL PROPERTY MANAGER","$0.00","$0","$0.00","$0","$0.32","$5","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ADMINISTRATIVE RETIREMENT BENEFITS SPECIALIST","$54.75","$2,354","$231.35","$9,254","$210.29","$8,412","$319","$14,977","$44.67","$2,010","$198.00","$9,108","$0.00","$0"
"ADMINISTRATIVE RETIREMENTS BENEFITS SPECIALIST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$684.30","$3,422"
"ADMINISTRATIVE SANITATION ENFORCEMENT AGENT","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ADMINISTRATIVE SCHOOL FOOD SERVICE MANAGER","$0.00","$0","$1.18","$19","$244.82","$4,407","$208","$3,738","$6.49","$117","$352.43","$5,991","$18.68","$318"
"ADMINISTRATIVE SPACE ANALYST","$76.82","$1,613","$34.09","$784","$4.48","$112","$14","$431","$0.00","$0","$50.77","$1,523","$8.54","$239"
"ADMINISTRATIVE STAFF ANALYST","$1,225.18","$2,980,862","$1,488.14","$3,549,215","$1,919.36","$3,848,318","$1,995","$3,807,673","$1,731.88","$3,214,377","$1,444.02","$2,596,340","$1,169.71","$2,055,189"
"ADMINISTRATIVE STOREKEEPER","$492.95","$6,408","$0.00","$0","$0.00","$0","$481","$6,737","$0.00","$0","$0.00","$0","$0.00","$0"
"ADMINISTRATIVE SUPERINTENDENT OF BRIDGE OPERATIONS","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0",NA,NA
"ADMINISTRATIVE SUPERINTENDENT OF HIGHWAY OPERATIONS","$847.65","$18,648","$96.29","$2,215","$1,258.72","$27,692","$0","$0","$0.00","$0","$1,394.54","$27,891","$898.22","$17,066"
"ADMINISTRATIVE SUPERVISOR OF BUILDING MAINTENANCE","$1,101.16","$33,035","$688.66","$25,480","$1,830.08","$67,713","$558","$23,441","$366.34","$15,753","$164.51","$7,567","$165.93","$7,799"
"ADMINISTRATIVE SUPERVISOR OF SKILLED TRADES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$21,562.52","$21,563"
"ADMINISTRATIVE TAX AUDITOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ADMINISTRATIVE TRANSPORTATION COORDINATOR","$0.00","$0","$27.40","$356","$2,243.06","$42,618","$0","$0","$1,128.56","$22,571","$2,830.89","$56,618","$1,191.43","$26,211"
"ADMINISTRATOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ADMINISTRATOR OF MEDICAL AFFAIRS","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ADMINISTRATOR SUPT CAMPUS B/G","$0.00","$0","$73.49","$661","$0.00","$0","$0","$0","$0.00","$0","$816.10","$8,977","$69.55","$765"
"ADULT ED-30 H","$191.40","$6,890","$206.65","$6,819","$403.87","$12,116","$567","$14,184","$241.79","$5,561","$578.12","$10,984","$0.00","$0"
"ADULT ED-35 H","$2,595.39","$5,191","$2,752.58","$5,505","$3,544.63","$3,545","$4,143","$4,143","$0.00","$0","$0.00","$0","$0.00","$0"
"ADULT EDUCAT TEACH - REG SUB","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ADULT EDUCATION TEACHER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ADULT EDUCATOR ASSISTANT COORD","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGENCY ATTORNEY","$1,101.32","$839,202","$1,053.16","$830,947","$988.20","$837,991","$1,052","$976,618","$1,209.59","$1,141,857","$2,351.45","$2,205,664","$1,667.73","$1,694,416"
"AGENCY ATTORNEY INTERN",NA,NA,"$144.24","$10,818",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGENCY ATTORNEY INTERNE","$271.34","$14,924","$664.47","$2,658","$281.41","$21,950","$202","$17,591","$289.78","$17,676","$1,366.37","$81,982","$729.59","$56,908"
"AGENCY CHIEF CONTRACTING OFFICER","$0.00","$0","$0.00","$0","$0.26","$6","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"AGENCY DEPUTY MEDICAL DIRECTOR","$0.00","$0","$0.00","$0","$0.00","$0","$130","$1,688","$0.00","$0","$0.00","$0","$0.00","$0"
"AGENCY MEDICAL DIRECTOR","$0.00","$0","$0.00","$0","$4.16","$96","$0","$0","$0.00","$0","-$0.63","-$15","$0.00","$0"
"AGENCY SECURITY DIRECTOR","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIR POLLUTION INSPECTOR","$15,728.04","$408,929","$15,904.38","$429,418","$12,905.02","$425,866","$14,947","$433,470","$8,468.39","$304,862","$6,665.93","$266,637","$5,227.01","$256,123"
"ANALYST","$3,775.06","$139,677","$2,448.74","$93,052","$1,632.12","$66,917","$2,420","$106,464","$5,028.46","$266,509","$2,906.31","$145,316","$2,305.42","$119,882"
